"PLOT";"total";"PROPFOR";"PROPNATFOR";"SHA500";"region"
78;0;"0.813744135919868";"0";"0.480748154";"Banks"
79;0;"0.547267650578381";"0.0925655976676385";"1.238669094";"Banks"
81;0;"0.999490380940247";"0";"0.004373343";"Banks"
85;0;"0.409802673456397";"1";"0.926841844";"Banks"
87;0;"0.046787353391127";"1";"0.740962399";"Banks"
88;0;"0.00918016065281142";"0";"0.85442971";"Banks"
89;0;"0.0999745287824758";"1";"1.244441303";"Banks"
90;0;"0.204446716074623";"0.95";"1.074449159";"Banks"
91;0;"0.232104121475054";"1";"0.756979782";"Banks"
92;0;"0.284530034434383";"1";"0.845874635";"Banks"
95;0;"0.395165394402036";"1";"0.90155724";"Banks"
96;0;"0.376591951095262";"1";"0.862358881";"Banks"
97;0;"0.402910762160092";"1";"1.090133459";"Banks"
98;0;"0.31104020421187";"1";"1.218072161";"Banks"
99;0;"0.511063072227874";"1";"0.88473668";"Banks"
100;0;"0.542802547770701";"1";"0.740418783";"Banks"
101;0;"0.0630102040816327";"1";"0.678928616";"Banks"
104;0;"0.11104012266803";"1";"0.771152102";"Banks"
105;0;"0.67147231436591";"0.29868896066882";"1.261308203";"Banks"
106;0;"0.698647614187293";"0.0394448502556611";"0.728104166";"Banks"
107;0;"0.828575070099414";"0.0886017535763729";"0.706123337";"Banks"
108;0;"0.475639231649917";"1";"0.935247937";"Banks"
109;2;"0.293391060741118";"1";"0.669429409";"Banks"
111;0;"0.540292807129217";"0.274269557021678";"1.562959149";"Banks"
112;0;"0.385757806549886";"0.193484698914116";"1.331854284";"Banks"
113;0;"0.215506248406019";"0.683431952662722";"1.288070896";"Banks"
114;1;"0.778258105530833";"0.0481947394216631";"0.954114881";"Banks"
115;0;"0.460902733630006";"0.0187586206896552";"1.306193726";"Banks"
116;0;"0.420185114745784";"0.0024140012070006";"1.265586635";"Banks"
117;0;"0.130964597229348";"0.306562193927522";"1.084808026";"Banks"
118;0;"0";"0";"0.401873961";"Banks"
120;0;"0.064696892511462";"1";"0.239700212";"Banks"
122;0;"0";"0";"0.424479193";"Banks"
131;0;"0.531162554057492";"0.0316091954022989";"1.063469169";"Banks"
133;4;"0.301322818621216";"0.0548754748839173";"0.850117239";"Banks"
134;0;"0.284966151488057";"0.0372030479605558";"0.98588735";"Banks"
135;4;"0.0657659954116747";"1";"1.066676175";"Banks"
137;0;"0.218089171974522";"1";"1.385422492";"Banks"
138;0;"0.43562969565771";"0.0184156679333528";"1.425814941";"Banks"
139;0;"0.483254807080097";"0";"0.692586273";"Plain"
140;0;"0.55367375525277";"0";"0.687374319";"Plain"
141;0;"0.469569646040234";"0.0439262472885033";"1.302012319";"Banks"
142;0;"0.574102368220015";"0.286538035041029";"1.318938658";"Banks"
143;0;"0.250636780438105";"0";"1.481704027";"Banks"
144;0;"0.300241822578592";"1";"0.976079919";"Banks"
145;0;"0.482104190548975";"0.996565389696169";"1.042301784";"Banks"
146;0;"0.515603107884346";"1";"1.21715899";"Banks"
147;0;"0.674311926605505";"0.921579743008314";"1.135830426";"Banks"
148;0;"0.452183878772444";"0.84877499295973";"1.199936181";"Banks"
149;0;"0.402566056910569";"1";"1.212073399";"Banks"
151;0;"0.384948427352604";"1";"1.23115861";"Banks"
153;0;"0.86533733952472";"0";"0.433726569";"Foot_hills"
154;0;"0.999490705373058";"0";"0.004370883";"Foot_hills"
155;0;"0.765350877192982";"0";"0.773749906";"Foot_hills"
156;0;"0.698879551820728";"0";"0.614740113";"Foot_hills"
157;0;"0.210620145167452";"0";"0.764352614";"Foot_hills"
158;0;"0.948152866242038";"0.0382910116888352";"0.357969015";"Foot_hills"
159;1;"0.818807339449541";"0.606286959228136";"1.050534761";"Foot_hills"
160;1;"0.918460950439547";"0.59592176446109";"0.902134164";"Foot_hills"
162;0;"0.924605196128375";"0.191597796143251";"0.719073981";"Foot_hills"
163;0;"1";"0.565948770230661";"0.684423302";"Foot_hills"
164;0;"0.703260315843097";"0.195400217312568";"0.955458432";"Foot_hills"
165;0;"0.92317492674226";"0.870273254209219";"0.627168451";"Foot_hills"
166;0;"0.985606929053624";"0.653011113982941";"0.711601183";"Foot_hills"
167;0;"0.826286296484972";"0";"0.514645635";"Foot_hills"
191;0;"0.201660280970626";"0.274857504749842";"0.918978663";"Banks"
192;0;"0.112708306831192";"0.340857787810384";"0.90183279";"Banks"
194;0;"0.0210808738980452";"1";"0.617053591";"Banks"
