point;espece;total
689D_2;corneille noire;3
695A_1;corneille noire;11
695A_2;corneille noire;2
695B_1;corneille noire;2
695B_2;corneille noire;3
695C_1;corneille noire;0
695C_2;corneille noire;3
695D_1;corneille noire;3
695D_2;corneille noire;2
702A_1;corneille noire;0
702A_2;corneille noire;8
702B_1;corneille noire;0
702B_2;corneille noire;1
702C_1;corneille noire;0
702C_2;corneille noire;2
702D_1;corneille noire;0
702D_2;corneille noire;8
708A_1;corneille noire;1
708A_2;corneille noire;3
708B_1;corneille noire;15
708B_2;corneille noire;3
708C_1;corneille noire;1
708C_2;corneille noire;7
708D_1;corneille noire;2
708D_2;corneille noire;5
771A_1;corneille noire;4
771A_2;corneille noire;0
771B_1;corneille noire;4
771B_2;corneille noire;1
771C_1;corneille noire;4
771C_2;corneille noire;1
771D_1;corneille noire;1
771D_2;corneille noire;0
791A_1;corneille noire;2
791A_2;corneille noire;6
791B_1;corneille noire;3
791B_2;corneille noire;4
791C_1;corneille noire;1
791C_2;corneille noire;3
791D_1;corneille noire;10
791D_2;corneille noire;5
001A_1;pouillot veloce;3
001A_2;pouillot veloce;5
001B_1;pouillot veloce;2
001B_2;pouillot veloce;1
001C_1;pouillot veloce;3
001C_2;pouillot veloce;2
001D_1;pouillot veloce;1
001D_2;pouillot veloce;0
016A_1;pouillot veloce;2
016A_2;pouillot veloce;3
016B_1;pouillot veloce;2
016B_2;pouillot veloce;1
016C_1;pouillot veloce;3
016C_2;pouillot veloce;3
016D_1;pouillot veloce;1
016D_2;pouillot veloce;0
025A_1;pouillot veloce;1
025B_1;pouillot veloce;2
025C_1;pouillot veloce;2
025D_1;pouillot veloce;2
030A_1;pouillot veloce;2
030B_1;pouillot veloce;3
030C_1;pouillot veloce;1
030D_1;pouillot veloce;1
053A_1;pouillot veloce;2
053B_1;pouillot veloce;2
053C_1;pouillot veloce;2
053D_1;pouillot veloce;1
058A_1;pouillot veloce;1
058A_2;pouillot veloce;0
058B_1;pouillot veloce;0
058B_2;pouillot veloce;0
058C_1;pouillot veloce;4
058C_2;pouillot veloce;2
058D_1;pouillot veloce;1
058D_2;pouillot veloce;3
063A_1;pouillot veloce;1
063B_1;pouillot veloce;2
063C_1;pouillot veloce;2
063D_1;pouillot veloce;1
143A_1;pouillot veloce;1
143A_2;pouillot veloce;0
143B_1;pouillot veloce;2
143B_2;pouillot veloce;1
143C_1;pouillot veloce;5
143C_2;pouillot veloce;1
143D_1;pouillot veloce;3
143D_2;pouillot veloce;2
166A_1;pouillot veloce;1
166A_2;pouillot veloce;2
166B_1;pouillot veloce;3
166B_2;pouillot veloce;1
166C_1;pouillot veloce;1
166C_2;pouillot veloce;1
166D_1;pouillot veloce;2
166D_2;pouillot veloce;1
168A_1;pouillot veloce;3
168A_2;pouillot veloce;5
168B_1;pouillot veloce;2
168B_2;pouillot veloce;2
168C_1;pouillot veloce;3
168C_2;pouillot veloce;4
168D_1;pouillot veloce;1
168D_2;pouillot veloce;1
182A_1;pouillot veloce;3
182B_1;pouillot veloce;3
182C_1;pouillot veloce;2
182D_1;pouillot veloce;1
199A_1;pouillot veloce;1
199A_2;pouillot veloce;0
199B_1;pouillot veloce;1
199B_2;pouillot veloce;1
199C_1;pouillot veloce;1
199C_2;pouillot veloce;1
199D_1;pouillot veloce;3
199D_2;pouillot veloce;1
213A_1;pouillot veloce;4
213B_1;pouillot veloce;4
213C_1;pouillot veloce;3
213D_1;pouillot veloce;3
242A_1;pouillot veloce;2
242B_1;pouillot veloce;3
242C_1;pouillot veloce;2
242D_1;pouillot veloce;1
260A_1;pouillot veloce;3
260B_1;pouillot veloce;2
260C_1;pouillot veloce;3
260D_1;pouillot veloce;2
271A_1;pouillot veloce;2
271A_2;pouillot veloce;3
271B_1;pouillot veloce;2
271B_2;pouillot veloce;2
271C_1;pouillot veloce;3
271C_2;pouillot veloce;3
271D_1;pouillot veloce;0
271D_2;pouillot veloce;0
354A_1;pouillot veloce;2
354A_2;pouillot veloce;0
354B_1;pouillot veloce;0
354B_2;pouillot veloce;0
354C_1;pouillot veloce;2
354C_2;pouillot veloce;3
354D_1;pouillot veloce;1
354D_2;pouillot veloce;0
385A_1;pouillot veloce;1
385A_2;pouillot veloce;1
385B_1;pouillot veloce;1
385B_2;pouillot veloce;2
385C_1;pouillot veloce;1
385C_2;pouillot veloce;1
385D_1;pouillot veloce;1
385D_2;pouillot veloce;0
434A_1;pouillot veloce;2
434A_2;pouillot veloce;3
434B_1;pouillot veloce;2
434B_2;pouillot veloce;0
434C_1;pouillot veloce;3
434C_2;pouillot veloce;2
434D_1;pouillot veloce;2
434D_2;pouillot veloce;1
443A_1;pouillot veloce;1
443A_2;pouillot veloce;1
443B_1;pouillot veloce;2
443B_2;pouillot veloce;3
443C_1;pouillot veloce;3
443C_2;pouillot veloce;3
443D_1;pouillot veloce;1
443D_2;pouillot veloce;0
452A_1;pouillot veloce;2
452B_1;pouillot veloce;2
452C_1;pouillot veloce;4
452D_1;pouillot veloce;3
490A_1;pouillot veloce;3
490A_2;pouillot veloce;4
490B_1;pouillot veloce;2
490B_2;pouillot veloce;2
490C_1;pouillot veloce;1
490C_2;pouillot veloce;1
490D_1;pouillot veloce;1
490D_2;pouillot veloce;1
506A_1;pouillot veloce;1
506B_1;pouillot veloce;3
506C_1;pouillot veloce;3
506D_1;pouillot veloce;1
524A_1;pouillot veloce;1
524A_2;pouillot veloce;2
524B_1;pouillot veloce;4
524B_2;pouillot veloce;1
524C_1;pouillot veloce;4
524C_2;pouillot veloce;2
524D_1;pouillot veloce;2
524D_2;pouillot veloce;2
682A_1;pouillot veloce;2
682A_2;pouillot veloce;2
682B_1;pouillot veloce;2
682B_2;pouillot veloce;1
682C_1;pouillot veloce;4
682C_2;pouillot veloce;1
682D_1;pouillot veloce;1
682D_2;pouillot veloce;0
689A_1;pouillot veloce;1
689A_2;pouillot veloce;3
689B_1;pouillot veloce;2
689B_2;pouillot veloce;3
689C_1;pouillot veloce;1
689C_2;pouillot veloce;2
689D_1;pouillot veloce;2
689D_2;pouillot veloce;1
695A_1;pouillot veloce;3
695A_2;pouillot veloce;2
695B_1;pouillot veloce;2
695B_2;pouillot veloce;1
695C_1;pouillot veloce;2
695C_2;pouillot veloce;4
695D_1;pouillot veloce;1
695D_2;pouillot veloce;4
702A_1;pouillot veloce;3
702A_2;pouillot veloce;1
702B_1;pouillot veloce;1
702B_2;pouillot veloce;1
702C_1;pouillot veloce;1
702C_2;pouillot veloce;1
702D_1;pouillot veloce;0
702D_2;pouillot veloce;1
708A_1;pouillot veloce;1
708A_2;pouillot veloce;3
708B_1;pouillot veloce;1
708B_2;pouillot veloce;1
708C_1;pouillot veloce;2
708C_2;pouillot veloce;4
708D_1;pouillot veloce;1
708D_2;pouillot veloce;3
771A_1;pouillot veloce;1
771A_2;pouillot veloce;2
771B_1;pouillot veloce;4
771B_2;pouillot veloce;1
771C_1;pouillot veloce;3
771C_2;pouillot veloce;1
771D_1;pouillot veloce;1
771D_2;pouillot veloce;4
791A_1;pouillot veloce;1
791A_2;pouillot veloce;1
791B_1;pouillot veloce;3
791B_2;pouillot veloce;2
791C_1;pouillot veloce;2
791C_2;pouillot veloce;4
791D_1;pouillot veloce;2
791D_2;pouillot veloce;0
001A_1;tourterelle des bois;0
001A_2;tourterelle des bois;0
001B_1;tourterelle des bois;0
001B_2;tourterelle des bois;0
001C_1;tourterelle des bois;0
