"";"ID";"individu";"espece";"T5_inf70";"T10_inf70";"T15_inf70";"T5_sup70";"T10_sup70";"T15_sup70";"tot_inf70";"tot_sup70";"TOT";"transit";"chanteur";"observateur"
"37";"001B_1";12;"corneille noire";0;0;0;0;1;0;0;1;1;"non";"non";"mony"
"39";"001B_1";14;"corneille noire";0;0;0;2;0;0;0;2;2;"oui";"non";"mony"
"60";"001C_1";1;"corneille noire";0;0;0;1;0;0;0;1;1;"oui";"non";"mony"
"61";"001C_1";2;"corneille noire";0;0;0;3;3;1;0;3;3;"non";"non";"mony"
"77";"001C_1";18;"corneille noire";0;0;0;0;2;0;0;2;2;"non";"non";"mony"
"84";"001C_1";25;"corneille noire";0;0;0;0;2;0;0;2;2;"oui";"non";"mony"
"90";"001C_1";31;"corneille noire";0;0;0;2;2;0;0;2;2;"non";"non";"mony"
"97";"001D_1";4;"corneille noire";0;0;0;1;1;0;0;1;1;"non";"non";"mony"
"113";"001D_1";20;"corneille noire";0;0;0;0;0;1;0;1;1;"oui";"non";"mony"
"115";"001D_1";22;"corneille noire";0;0;0;3;1;1;0;3;3;"non";"non";"mony"
"120";"001D_1";27;"corneille noire";0;0;0;0;0;1;0;1;1;"oui";"non";"mony"
"129";"016A_1";8;"corneille noire";0;0;0;0;0;1;0;1;1;"non";"non";"mony"
"132";"016A_1";11;"corneille noire";0;0;0;0;0;1;0;1;1;"non";"non";"mony"
"134";"016A_1";13;"corneille noire";0;0;0;1;1;0;0;1;1;"non";"non";"mony"
"135";"016A_1";14;"corneille noire";0;0;0;1;1;0;0;1;1;"non";"non";"mony"
"140";"016A_1";19;"corneille noire";0;0;0;1;1;0;0;1;1;"non";"non";"mony"
"142";"016A_1";21;"corneille noire";0;0;0;2;2;0;0;2;2;"non";"non";"mony"
"146";"016A_1";25;"corneille noire";0;0;0;0;0;1;0;1;1;"non";"non";"mony"
"153";"016B_1";1;"corneille noire";0;0;0;1;0;0;0;1;1;"non";"non";"mony"
"160";"016B_1";8;"corneille noire";0;0;0;1;1;0;0;1;1;"non";"non";"mony"
"166";"016B_1";14;"corneille noire";0;0;0;0;0;2;0;2;2;"non";"non";"mony"
"176";"016B_1";24;"corneille noire";0;0;0;1;0;0;0;1;1;"non";"non";"mony"
"178";"016B_1";26;"corneille noire";0;0;0;0;0;1;0;1;1;"non";"non";"mony"
"185";"016C_1";3;"corneille noire";0;0;0;0;4;0;0;4;4;"non";"non";"mony"
"186";"016C_1";4;"corneille noire";0;0;0;2;2;0;0;2;2;"non";"non";"mony"
"187";"016C_1";5;"corneille noire";0;0;0;0;0;1;0;1;1;"non";"non";"mony"
"188";"016C_1";6;"corneille noire";0;0;0;1;0;0;0;1;1;"non";"non";"mony"
"189";"016C_1";7;"corneille noire";0;0;0;0;1;0;0;1;1;"non";"non";"mony"
"195";"016C_1";13;"corneille noire";0;0;0;4;0;0;0;4;4;"non";"non";"mony"
"218";"016D_1";3;"corneille noire";0;0;0;0;1;1;0;1;1;"non";"non";"mony"
"236";"016D_1";21;"corneille noire";0;0;0;0;0;2;0;2;2;"non";"non";"mony"
"237";"016D_1";22;"corneille noire";0;0;0;0;0;1;0;1;1;"oui";"non";"mony"
"244";"016D_1";29;"corneille noire";0;0;0;1;0;0;0;1;1;"non";"non";"mony"
"245";"016D_1";30;"corneille noire";0;0;0;0;0;4;0;4;4;"non";"non";"mony"
"247";"016D_1";32;"corneille noire";0;0;0;2;2;2;0;2;2;"non";"non";"mony"
"250";"016D_1";35;"corneille noire";0;0;0;0;1;0;0;1;1;"non";"non";"mony"
"260";"025A_1";2;"corneille noire";0;0;0;0;0;1;0;1;1;"non";"non";"barnagaud"
"275";"025A_1";17;"corneille noire";0;0;0;1;1;0;0;1;1;"non";"non";"barnagaud"
"278";"025A_1";20;"corneille noire";0;0;0;0;1;0;0;1;1;"non";"non";"barnagaud"
"282";"025A_1";24;"corneille noire";0;0;0;0;0;1;0;1;1;"oui";"non";"barnagaud"
"283";"025A_1";25;"corneille noire";0;0;0;0;0;3;0;3;3;"oui";"non";"barnagaud"
"296";"025B_1";3;"corneille noire";0;0;0;1;1;0;0;1;1;"non";"non";"barnagaud"
"303";"025B_1";10;"corneille noire";0;0;0;0;1;0;0;1;1;"non";"non";"barnagaud"
"324";"025C_1";2;"corneille noire";0;0;0;0;1;0;0;1;1;"non";"non";"barnagaud"
"331";"025C_1";9;"corneille noire";0;0;0;0;1;1;0;1;1;"non";"non";"barnagaud"
"334";"025C_1";12;"corneille noire";0;0;0;0;1;0;0;1;1;"non";"non";"barnagaud"
"335";"025C_1";13;"corneille noire";0;0;0;0;0;3;0;3;3;"oui";"non";"barnagaud"
"341";"025C_1";19;"corneille noire";0;0;0;1;0;0;0;1;1;"non";"non";"barnagaud"
"342";"025C_1";20;"corneille noire";0;0;0;0;0;1;0;1;1;"oui";"non";"barnagaud"
"364";"025D_1";4;"corneille noire";0;0;0;0;1;0;0;1;1;"non";"non";"barnagaud"
"370";"025D_1";10;"corneille noire";0;0;0;0;1;0;0;1;1;"oui";"non";"barnagaud"
"374";"025D_1";14;"corneille noire";0;0;0;1;0;1;0;1;1;"non";"non";"barnagaud"
"375";"025D_1";15;"corneille noire";0;0;0;0;2;0;0;2;2;"oui";"non";"barnagaud"
"395";"030A_1";1;"corneille noire";0;0;0;0;1;0;0;1;1;"non";"non";"barnagaud"
"396";"030A_1";2;"corneille noire";0;0;0;0;0;1;0;1;1;"oui";"non";"barnagaud"
"398";"030A_1";4;"corneille noire";0;0;0;0;1;0;0;1;1;"oui";"non";"barnagaud"
"410";"030A_1";16;"corneille noire";0;0;0;1;0;0;0;1;1;"non";"non";"barnagaud"
"412";"030A_1";18;"corneille noire";0;0;0;1;0;0;0;1;1;"oui";"non";"barnagaud"
"413";"030A_1";19;"corneille noire";0;0;0;0;5;0;0;5;5;"non";"non";"barnagaud"
"414";"030A_1";20;"corneille noire";0;0;0;0;1;0;0;1;1;"oui";"non";"barnagaud"
"426";"030B_1";3;"corneille noire";0;0;0;1;1;0;0;1;1;"non";"non";"barnagaud"
"428";"030B_1";5;"corneille noire";0;0;0;3;0;0;0;3;3;"oui";"non";"barnagaud"
"442";"030B_1";19;"corneille noire";0;0;0;0;1;0;0;1;1;"oui";"non";"barnagaud"
"443";"030B_1";20;"corneille noire";0;0;0;1;0;0;0;1;1;"non";"non";"barnagaud"
"449";"030B_1";26;"corneille noire";0;0;0;1;1;0;0;1;1;"non";"non";"barnagaud"
"455";"030B_1";32;"corneille noire";0;0;0;0;2;0;0;2;2;"non";"non";"barnagaud"
"469";"030C_1";6;"corneille noire";0;0;0;0;0;1;0;1;1;"non";"non";"barnagaud"
"470";"030C_1";7;"corneille noire";0;0;0;0;0;1;0;1;1;"non";"non";"barnagaud"
"472";"030C_1";9;"corneille noire";0;0;0;0;7;0;0;7;7;"oui";"non";"barnagaud"
"476";"030C_1";13;"corneille noire";0;0;0;0;0;1;0;1;1;"non";"non";"barnagaud"
"480";"030C_1";17;"corneille noire";0;0;0;0;1;0;0;1;1;"non";"non";"barnagaud"
"489";"030C_1";26;"corneille noire";0;1;0;0;0;0;1;0;1;"non";"non";"barnagaud"
"493";"030D_1";1;"corneille noire";0;0;0;0;1;0;0;1;1;"oui";"non";"barnagaud"
"501";"030D_1";9;"corneille noire";0;0;0;0;0;1;0;1;1;"non";"non";"barnagaud"
"503";"030D_1";11;"corneille noire";0;0;0;0;0;1;0;1;1;"oui";"non";"barnagaud"
"511";"030D_1";19;"corneille noire";0;0;0;1;1;0;0;1;1;"non";"non";"barnagaud"
"518";"030D_1";26;"corneille noire";0;0;0;1;1;0;0;1;1;"non";"non";"barnagaud"
"521";"030D_1";29;"corneille noire";0;0;0;0;0;4;0;4;4;"oui";"non";"barnagaud"
"524";"030D_1";32;"corneille noire";0;0;0;1;1;1;0;1;1;"non";"non";"barnagaud"
"531";"053A_1";3;"corneille noire";0;0;0;2;2;2;0;2;2;"non";"non";"corbeau"
"626";"058A_1";1;"corneille noire";0;0;0;0;0;1;0;1;1;"non";"non";"barnagaud"
"627";"058A_1";2;"corneille noire";0;0;0;0;1;0;0;1;1;"non";"non";"barnagaud"
"657";"058B_1";2;"corneille noire";0;0;0;1;1;0;0;1;1;"non";"non";"barnagaud"
"684";"058C_1";3;"corneille noire";0;0;0;1;0;0;0;1;1;"non";"non";"barnagaud"
"695";"058C_1";14;"corneille noire";0;0;1;0;0;0;1;0;1;"oui";"non";"barnagaud"
"713";"058D_1";1;"corneille noire";0;0;0;2;0;0;0;2;2;"oui";"non";"barnagaud"
"715";"058D_1";3;"corneille noire";0;0;0;2;0;0;0;2;2;"oui";"non";"barnagaud"
"720";"058D_1";8;"corneille noire";0;0;0;1;0;0;0;1;1;"non";"non";"barnagaud"
"722";"058D_1";10;"corneille noire";0;0;0;0;0;1;0;1;1;"non";"non";"barnagaud"
"723";"058D_1";11;"corneille noire";0;0;0;0;1;0;0;1;1;"oui";"non";"barnagaud"
"746";"063A_1";6;"corneille noire";0;0;0;1;2;0;0;2;2;"non";"non";"corbeau"
"747";"063A_1";7;"corneille noire";0;0;0;2;0;0;0;2;2;"non";"non";"corbeau"
"753";"063A_1";13;"corneille noire";0;0;0;1;1;0;0;1;1;"non";"non";"corbeau"
"766";"063B_1";5;"corneille noire";0;0;0;3;2;2;0;3;3;"non";"non";"corbeau"
"790";"063C_1";4;"corneille noire";0;0;0;2;0;2;0;2;2;"non";"non";"corbeau"
"798";"063C_1";12;"corneille noire";0;0;0;7;7;8;0;8;8;"non";"non";"corbeau"
"802";"063C_1";16;"corneille noire";0;0;0;0;1;1;0;1;1;"non";"non";"corbeau"
"815";"063D_1";4;"corneille noire";0;0;0;2;2;4;0;4;4;"non";"non";"corbeau"
"854";"143B_1";1;"corneille noire";0;0;0;0;1;1;0;1;1;"non";"non";"barnagaud"
"867";"143B_1";14;"corneille noire";0;0;0;0;0;1;0;1;1;"non";"non";"barnagaud"
"887";"143C_1";1;"corneille noire";0;0;0;1;0;0;0;1;1;"oui";"non";"barnagaud"
"891";"143C_1";5;"corneille noire";0;0;0;0;1;0;0;1;1;"non";"non";"barnagaud"
"898";"143C_1";12;"corneille noire";0;0;0;0;1;0;0;1;1;"non";"non";"barnagaud"
"901";"143C_1";15;"corneille noire";0;0;0;0;1;0;0;1;1;"non";"non";"barnagaud"
"902";"143C_1";16;"corneille noire";0;0;0;1;0;0;0;1;1;"non";"non";"barnagaud"
"916";"143C_1";30;"corneille noire";0;0;0;2;0;0;0;2;2;"non";"non";"barnagaud"
"930";"143D_1";1;"corneille noire";0;0;0;1;0;0;0;1;1;"non";"non";"barnagaud"
"931";"143D_1";2;"corneille noire";0;0;0;0;0;1;0;1;1;"non";"non";"barnagaud"
"932";"143D_1";3;"corneille noire";0;0;0;0;1;0;0;1;1;"non";"non";"barnagaud"
"946";"143D_1";17;"corneille noire";0;0;0;0;1;0;0;1;1;"non";"non";"barnagaud"
"949";"143D_1";20;"corneille noire";0;0;0;0;0;2;0;2;2;"non";"non";"barnagaud"
"951";"143D_1";22;"corneille noire";0;0;0;0;2;0;0;2;2;"oui";"non";"barnagaud"
"952";"143D_1";23;"corneille noire";0;0;0;0;3;0;0;3;3;"oui";"non";"barnagaud"
"970";"166A_1";1;"corneille noire";0;0;0;0;0;1;0;1;1;"non";"non";"mony"
"979";"166A_1";10;"corneille noire";0;0;0;0;1;1;0;1;1;"non";"non";"mony"
"995";"166A_1";26;"corneille noire";0;0;0;0;0;1;0;1;1;"non";"non";"mony"
"1035";"166B_1";36;"corneille noire";0;0;0;0;0;1;0;1;1;"non";"non";"mony"
"1046";"166C_1";11;"corneille noire";0;0;0;0;1;0;0;1;1;"non";"non";"mony"
"1051";"166C_1";16;"corneille noire";0;0;0;0;2;0;0;2;2;"non";"non";"mony"
"1060";"166C_1";25;"corneille noire";0;0;0;1;0;0;0;1;1;"non";"non";"mony"
"1080";"166D_1";6;"corneille noire";0;0;0;1;0;0;0;1;1;"non";"non";"mony"
"1102";"166D_1";28;"corneille noire";0;0;0;0;1;0;0;1;1;"non";"non";"mony"
"1104";"166D_1";30;"corneille noire";0;0;0;2;0;0;0;2;2;"non";"non";"mony"
"1131";"168A_1";27;"corneille noire";0;0;0;0;1;0;0;1;1;"non";"non";"mony"
"1138";"168A_1";34;"corneille noire";0;0;0;0;1;1;0;1;1;"non";"non";"mony"
"1139";"168B_1";1;"corneille noire";0;0;0;1;1;0;0;1;1;"non";"non";"mony"
"1140";"168B_1";2;"corneille noire";0;0;0;0;0;2;0;2;2;"non";"non";"mony"
