"";"ID";"individu";"espece";"T5_inf70";"T10_inf70";"T15_inf70";"T5_sup70";"T10_sup70";"T15_sup70";"tot_inf70";"tot_sup70";"TOT";"transit";"chanteur";"observateur"
"2182";"434A_1";13;"corneille noire";0;0;0;0;0;2;0;2;2;"non";"non";"barnagaud"
"2225";"434B_1";24;"corneille noire";0;0;0;1;0;0;0;1;1;"non";"non";"barnagaud"
"2289";"434D_1";15;"corneille noire";0;0;0;0;0;1;0;1;1;"non";"non";"barnagaud"
"2329";"443A_1";19;"corneille noire";0;0;0;0;0;2;0;2;2;"non";"non";"mony"
"2334";"443A_1";24;"corneille noire";0;0;0;0;2;0;0;2;2;"non";"non";"mony"
"2335";"443A_1";25;"corneille noire";0;0;0;0;0;1;0;1;1;"oui";"non";"mony"
"2338";"443A_1";28;"corneille noire";0;0;0;0;0;1;0;1;1;"oui";"non";"mony"
"2339";"443A_1";29;"corneille noire";0;0;0;0;0;3;0;3;3;"oui";"non";"mony"
"2366";"443B_1";26;"corneille noire";0;0;0;1;1;0;0;1;1;"non";"non";"mony"
"2380";"443C_1";11;"corneille noire";0;0;0;1;0;1;0;1;1;"non";"non";"mony"
"2402";"443C_1";33;"corneille noire";0;0;0;0;1;0;0;1;1;"non";"non";"mony"
"2408";"443D_1";4;"corneille noire";0;0;0;1;1;0;0;1;1;"non";"non";"mony"
"2414";"443D_1";10;"corneille noire";0;0;0;1;0;0;0;1;1;"non";"non";"mony"
"2420";"443D_1";16;"corneille noire";0;0;0;2;2;2;0;2;2;"non";"non";"mony"
"2437";"443D_1";33;"corneille noire";0;0;0;0;0;1;0;1;1;"non";"non";"mony"
"2439";"452A_1";1;"corneille noire";0;0;0;0;0;1;0;1;1;"oui";"non";"corbeau"
"2479";"452B_1";11;"corneille noire";0;0;0;0;0;2;0;2;2;"oui";"non";"corbeau"
"2482";"452B_1";14;"corneille noire";0;0;0;0;0;1;0;1;1;"oui";"non";"corbeau"
"2484";"452B_1";16;"corneille noire";0;0;0;1;1;0;0;1;1;"non";"non";"corbeau"
"2494";"452B_1";26;"corneille noire";0;0;1;0;0;0;1;0;1;"oui";"non";"corbeau"
"2508";"452C_1";9;"corneille noire";0;0;0;0;3;0;0;3;3;"oui";"non";"corbeau"
"2515";"452C_1";16;"corneille noire";0;0;0;0;1;2;0;2;2;"non";"non";"corbeau"
"2529";"452D_1";3;"corneille noire";0;0;0;0;2;0;0;2;2;"oui";"non";"corbeau"
"2530";"452D_1";4;"corneille noire";0;0;0;0;0;2;0;2;2;"oui";"non";"corbeau"
"2541";"452D_1";15;"corneille noire";0;0;0;0;1;0;0;1;1;"oui";"non";"corbeau"
"2562";"490A_1";6;"corneille noire";0;0;0;1;0;1;0;1;1;"non";"non";"corbeau"
"2585";"490B_1";6;"corneille noire";0;0;0;1;1;2;0;2;2;"non";"non";"corbeau"
"2609";"490C_1";2;"corneille noire";0;0;0;3;3;3;0;3;3;"non";"non";"corbeau"
"2617";"490C_1";10;"corneille noire";0;0;0;1;0;1;0;1;1;"non";"non";"corbeau"
"2632";"490D_1";2;"corneille noire";0;0;0;4;0;1;0;4;4;"non";"non";"corbeau"
"2664";"506A_1";5;"corneille noire";0;0;0;1;3;1;0;3;3;"non";"non";"corbeau"
"2671";"506A_1";12;"corneille noire";0;0;0;0;2;2;0;2;2;"non";"non";"corbeau"
"2675";"506A_1";16;"corneille noire";0;0;0;0;0;1;0;1;1;"non";"non";"corbeau"
"2680";"506A_1";21;"corneille noire";0;0;0;0;0;1;0;1;1;"non";"non";"corbeau"
"2693";"506B_1";2;"corneille noire";0;0;0;0;1;0;0;1;1;"oui";"non";"corbeau"
"2698";"506B_1";7;"corneille noire";0;0;0;1;1;1;0;1;1;"non";"non";"corbeau"
"2722";"506C_1";5;"corneille noire";0;0;0;1;0;0;0;1;1;"oui";"non";"corbeau"
"2725";"506C_1";8;"corneille noire";0;0;0;1;1;0;0;1;1;"non";"non";"corbeau"
"2732";"506C_1";15;"corneille noire";0;0;0;2;0;0;0;2;2;"non";"non";"corbeau"
"2736";"506C_1";19;"corneille noire";0;0;0;1;0;0;0;1;1;"oui";"non";"corbeau"
"2737";"506C_1";20;"corneille noire";0;0;0;0;0;1;0;1;1;"oui";"non";"corbeau"
"2739";"506C_1";22;"corneille noire";0;2;2;0;0;0;2;0;2;"non";"non";"corbeau"
"2753";"506D_1";9;"corneille noire";0;0;0;0;0;1;0;1;1;"non";"non";"corbeau"
"2759";"506D_1";15;"corneille noire";0;0;0;1;0;0;0;1;1;"non";"non";"corbeau"
"2784";"524A_1";10;"corneille noire";0;0;0;1;0;0;0;1;1;"oui";"non";"barnagaud"
"2798";"524A_1";24;"corneille noire";0;0;0;0;1;1;0;1;1;"non";"non";"barnagaud"
"2824";"524B_1";14;"corneille noire";0;0;0;1;0;0;0;1;1;"non";"non";"barnagaud"
"2846";"524C_1";2;"corneille noire";0;0;0;0;0;1;0;1;1;"oui";"non";"barnagaud"
"2857";"524C_1";13;"corneille noire";0;0;0;1;0;0;0;1;1;"non";"non";"barnagaud"
"2888";"524D_1";7;"corneille noire";0;0;0;0;0;1;0;1;1;"non";"non";"barnagaud"
"2894";"524D_1";13;"corneille noire";0;0;0;0;1;0;0;1;1;"non";"non";"barnagaud"
"2896";"524D_1";15;"corneille noire";0;0;0;1;1;0;0;1;1;"non";"non";"barnagaud"
"2919";"682A_1";7;"corneille noire";0;0;0;0;1;0;0;1;1;"oui";"non";"corbeau"
"2929";"682A_1";17;"corneille noire";0;0;0;1;1;0;0;1;1;"non";"non";"corbeau"
"2943";"682B_1";13;"corneille noire";0;0;0;1;0;0;0;1;1;"non";"non";"corbeau"
"2945";"682B_1";15;"corneille noire";0;0;0;0;1;0;0;1;1;"oui";"non";"corbeau"
"2956";"682C_1";7;"corneille noire";0;0;0;0;2;0;0;2;2;"non";"non";"corbeau"
"2993";"682D_1";18;"corneille noire";0;0;0;0;1;0;0;1;1;"non";"non";"corbeau"
"3011";"689A_1";15;"corneille noire";0;0;0;0;0;1;0;1;1;"non";"non";"mony"
"3018";"689A_1";22;"corneille noire";0;0;0;0;0;2;0;2;2;"non";"non";"mony"
"3020";"689B_1";1;"corneille noire";0;0;0;1;0;0;0;1;1;"non";"non";"mony"
"3021";"689B_1";2;"corneille noire";0;0;0;0;1;3;0;3;3;"oui";"non";"mony"
"3027";"689B_1";8;"corneille noire";0;0;0;0;0;1;0;1;1;"non";"non";"mony"
"3033";"689B_1";14;"corneille noire";0;0;0;0;1;2;0;2;2;"non";"non";"mony"
"3044";"689B_1";25;"corneille noire";0;0;0;1;0;0;0;1;1;"non";"non";"mony"
"3063";"689C_1";10;"corneille noire";0;0;0;0;0;1;0;1;1;"non";"non";"mony"
"3067";"689C_1";14;"corneille noire";0;0;0;1;0;1;0;1;1;"non";"non";"mony"
"3072";"689C_1";19;"corneille noire";0;0;0;0;0;1;0;1;1;"non";"non";"mony"
"3080";"689D_1";3;"corneille noire";0;0;0;0;2;0;0;2;2;"non";"non";"mony"
"3103";"689D_1";26;"corneille noire";0;0;0;1;0;2;0;2;2;"non";"non";"mony"
"3110";"689D_1";33;"corneille noire";0;0;0;0;0;2;0;2;2;"non";"non";"mony"
"3121";"695A_1";4;"corneille noire";0;0;0;0;0;1;0;1;1;"non";"non";"mony"
"3157";"695A_1";40;"corneille noire";0;0;0;0;0;10;0;10;10;"non";"non";"mony"
"3177";"695B_1";20;"corneille noire";0;0;0;0;1;0;0;1;1;"non";"non";"mony"
"3180";"695B_1";23;"corneille noire";0;0;0;0;1;0;0;1;1;"non";"non";"mony"
"3218";"695D_1";2;"corneille noire";0;0;0;1;0;0;0;1;1;"non";"non";"mony"
"3223";"695D_1";7;"corneille noire";0;0;0;0;0;1;0;1;1;"non";"non";"mony"
"3237";"695D_1";21;"corneille noire";0;0;0;0;0;1;0;1;1;"non";"non";"mony"
"3344";"708A_1";16;"corneille noire";0;0;0;1;0;1;0;1;1;"non";"non";"corbeau"
"3353";"708B_1";1;"corneille noire";0;0;0;6;0;0;0;6;6;"oui";"non";"corbeau"
"3354";"708B_1";2;"corneille noire";0;0;0;0;4;0;0;4;4;"oui";"non";"corbeau"
"3355";"708B_1";3;"corneille noire";0;0;0;0;0;5;0;5;5;"oui";"non";"corbeau"
"3378";"708C_1";5;"corneille noire";0;0;0;0;0;1;0;1;1;"non";"non";"corbeau"
"3393";"708D_1";1;"corneille noire";0;0;0;2;1;2;0;2;2;"non";"non";"corbeau"
"3413";"771A_1";3;"corneille noire";0;0;0;0;0;1;0;1;1;"non";"non";"barnagaud"
"3418";"771A_1";8;"corneille noire";0;0;0;0;1;1;0;1;1;"non";"non";"barnagaud"
"3422";"771A_1";12;"corneille noire";0;0;0;0;0;1;0;1;1;"non";"non";"barnagaud"
"3423";"771A_1";13;"corneille noire";0;0;0;0;0;1;0;1;1;"non";"non";"barnagaud"
"3455";"771B_1";7;"corneille noire";0;0;0;1;1;0;0;1;1;"non";"non";"barnagaud"
"3461";"771B_1";13;"corneille noire";0;0;0;0;0;1;0;1;1;"non";"non";"barnagaud"
"3478";"771B_1";30;"corneille noire";0;0;1;0;0;0;1;0;1;"non";"non";"barnagaud"
"3481";"771B_1";33;"corneille noire";0;1;0;0;0;0;1;0;1;"non";"non";"barnagaud"
"3485";"771C_1";3;"corneille noire";0;0;0;0;1;0;0;1;1;"non";"non";"barnagaud"
"3495";"771C_1";13;"corneille noire";0;0;0;1;1;0;0;1;1;"non";"non";"barnagaud"
"3504";"771C_1";22;"corneille noire";0;0;0;1;0;0;0;1;1;"non";"non";"barnagaud"
"3507";"771C_1";25;"corneille noire";0;0;0;0;1;0;0;1;1;"non";"non";"barnagaud"
"3524";"771D_1";4;"corneille noire";0;0;0;1;0;0;0;1;1;"non";"non";"barnagaud"
"3556";"791A_1";2;"corneille noire";0;0;0;0;1;1;0;1;1;"non";"non";"mony"
"3570";"791A_1";16;"corneille noire";0;0;0;1;0;0;0;1;1;"non";"non";"mony"
"3581";"791B_1";1;"corneille noire";0;0;0;0;1;1;0;1;1;"non";"non";"mony"
"3606";"791B_1";26;"corneille noire";0;0;0;0;0;2;0;2;2;"non";"non";"mony"
"3614";"791C_1";7;"corneille noire";0;0;0;1;0;0;0;1;1;"non";"non";"mony"
"3636";"791D_1";1;"corneille noire";0;0;0;1;0;0;0;1;1;"non";"non";"mony"
"3637";"791D_1";2;"corneille noire";0;0;0;0;0;1;0;1;1;"non";"non";"mony"
"3638";"791D_1";3;"corneille noire";0;0;0;1;0;0;0;1;1;"non";"non";"mony"
"3639";"791D_1";4;"corneille noire";0;0;0;0;1;0;0;1;1;"non";"non";"mony"
"3644";"791D_1";9;"corneille noire";0;0;0;1;0;0;0;1;1;"non";"non";"mony"
"3664";"791D_1";29;"corneille noire";0;0;0;3;0;0;0;3;3;"non";"non";"mony"
"3666";"791D_1";31;"corneille noire";0;0;0;1;0;0;0;1;1;"non";"non";"mony"
