maille;espece;effectif;heterogeneite;configuration;prairies;haies
A_271;pouillot_fitis;0;-0,992941216;-0,268926936;-2,000161983;0,047606929
A_271;mesange_charbonniere;2;-0,992941216;-0,268926936;-2,000161983;0,047606929
A_271;tarier_patre;1;-0,992941216;-0,268926936;-2,000161983;0,047606929
A_271;rougequeue_noir;0;-0,992941216;-0,268926936;-2,000161983;0,047606929
A_271;bergeronnette_printaniere;0;-0,992941216;-0,268926936;-2,000161983;0,047606929
A_271;grimpereau_des_jardins;2;-0,992941216;-0,268926936;-2,000161983;0,047606929
A_271;fauvette_des_jardins;0;-0,992941216;-0,268926936;-2,000161983;0,047606929
A_271;bergeronnette_grise;4;-0,992941216;-0,268926936;-2,000161983;0,047606929
A_271;corbeau_freux;0;-0,992941216;-0,268926936;-2,000161983;0,047606929
A_30;tarier_patre;0;-0,592855181;-0,806414922;1,761076733;0,813953108
A_30;grimpereau_des_jardins;0;-0,592855181;-0,806414922;1,761076733;0,813953108
A_30;pouillot_fitis;0;-0,592855181;-0,806414922;1,761076733;0,813953108
A_30;rougequeue_noir;0;-0,592855181;-0,806414922;1,761076733;0,813953108
A_30;fauvette_des_jardins;1;-0,592855181;-0,806414922;1,761076733;0,813953108
A_30;tourterelle_des_bois;0;-0,592855181;-0,806414922;1,761076733;0,813953108
A_30;corbeau_freux;0;-0,592855181;-0,806414922;1,761076733;0,813953108
A_30;bergeronnette_printaniere;1;-0,592855181;-0,806414922;1,761076733;0,813953108
A_30;mesange_charbonniere;3;-0,592855181;-0,806414922;1,761076733;0,813953108
A_30;bergeronnette_grise;0;-0,592855181;-0,806414922;1,761076733;0,813953108
A_385;rougequeue_noir;0;-1,140916194;-0,630423281;0,007085576;0,896732936
A_385;tourterelle_des_bois;0;-1,140916194;-0,630423281;0,007085576;0,896732936
A_385;pouillot_fitis;0;-1,140916194;-0,630423281;0,007085576;0,896732936
A_385;bergeronnette_grise;0;-1,140916194;-0,630423281;0,007085576;0,896732936
A_385;tarier_patre;0;-1,140916194;-0,630423281;0,007085576;0,896732936
A_385;mesange_charbonniere;2;-1,140916194;-0,630423281;0,007085576;0,896732936
A_385;fauvette_des_jardins;1;-1,140916194;-0,630423281;0,007085576;0,896732936
A_385;grimpereau_des_jardins;1;-1,140916194;-0,630423281;0,007085576;0,896732936
A_385;corbeau_freux;2;-1,140916194;-0,630423281;0,007085576;0,896732936
A_385;bergeronnette_printaniere;0;-1,140916194;-0,630423281;0,007085576;0,896732936
A_434;pouillot_fitis;0;1,585623757;0,168673902;1,026887272;-0,467927248
A_434;tarier_patre;1;1,585623757;0,168673902;1,026887272;-0,467927248
A_434;mesange_charbonniere;4;1,585623757;0,168673902;1,026887272;-0,467927248
A_434;tourterelle_des_bois;1;1,585623757;0,168673902;1,026887272;-0,467927248
A_434;rougequeue_noir;0;1,585623757;0,168673902;1,026887272;-0,467927248
A_434;bergeronnette_grise;1;1,585623757;0,168673902;1,026887272;-0,467927248
A_434;grimpereau_des_jardins;1;1,585623757;0,168673902;1,026887272;-0,467927248
A_434;fauvette_des_jardins;0;1,585623757;0,168673902;1,026887272;-0,467927248
A_434;corbeau_freux;0;1,585623757;0,168673902;1,026887272;-0,467927248
A_434;bergeronnette_printaniere;0;1,585623757;0,168673902;1,026887272;-0,467927248
A_452;grimpereau_des_jardins;1;-0,884540942;-1,224989637;-0,10209419;2,183158935
A_452;tarier_patre;0;-0,884540942;-1,224989637;-0,10209419;2,183158935
A_452;mesange_charbonniere;1;-0,884540942;-1,224989637;-0,10209419;2,183158935
A_452;pouillot_fitis;0;-0,884540942;-1,224989637;-0,10209419;2,183158935
A_452;fauvette_des_jardins;1;-0,884540942;-1,224989637;-0,10209419;2,183158935
A_452;tourterelle_des_bois;0;-0,884540942;-1,224989637;-0,10209419;2,183158935
A_452;bergeronnette_grise;0;-0,884540942;-1,224989637;-0,10209419;2,183158935
A_452;rougequeue_noir;0;-0,884540942;-1,224989637;-0,10209419;2,183158935
A_452;corbeau_freux;0;-0,884540942;-1,224989637;-0,10209419;2,183158935
A_452;bergeronnette_printaniere;0;-0,884540942;-1,224989637;-0,10209419;2,183158935
A_490;tarier_patre;3;-0,068359444;1,747842143;-0,957999186;-0,217433236
A_490;pouillot_fitis;0;-0,068359444;1,747842143;-0,957999186;-0,217433236
A_490;tourterelle_des_bois;0;-0,068359444;1,747842143;-0,957999186;-0,217433236
A_490;corbeau_freux;2;-0,068359444;1,747842143;-0,957999186;-0,217433236
A_490;rougequeue_noir;0;-0,068359444;1,747842143;-0,957999186;-0,217433236
A_490;grimpereau_des_jardins;0;-0,068359444;1,747842143;-0,957999186;-0,217433236
A_490;fauvette_des_jardins;1;-0,068359444;1,747842143;-0,957999186;-0,217433236
A_490;bergeronnette_grise;1;-0,068359444;1,747842143;-0,957999186;-0,217433236
A_490;bergeronnette_printaniere;0;-0,068359444;1,747842143;-0,957999186;-0,217433236
A_490;mesange_charbonniere;2;-0,068359444;1,747842143;-0,957999186;-0,217433236
A_506;tarier_patre;2;0,58211701;1,267432528;-0,312915322;0,260799439
A_506;pouillot_fitis;0;0,58211701;1,267432528;-0,312915322;0,260799439
A_506;mesange_charbonniere;0;0,58211701;1,267432528;-0,312915322;0,260799439
A_506;rougequeue_noir;0;0,58211701;1,267432528;-0,312915322;0,260799439
A_506;tourterelle_des_bois;0;0,58211701;1,267432528;-0,312915322;0,260799439
A_506;bergeronnette_printaniere;0;0,58211701;1,267432528;-0,312915322;0,260799439
A_506;grimpereau_des_jardins;0;0,58211701;1,267432528;-0,312915322;0,260799439
A_506;corbeau_freux;0;0,58211701;1,267432528;-0,312915322;0,260799439
A_506;bergeronnette_grise;0;0,58211701;1,267432528;-0,312915322;0,260799439
A_506;fauvette_des_jardins;0;0,58211701;1,267432528;-0,312915322;0,260799439
A_53;tarier_patre;0;1,865639096;0,810805566;0,058075661;-0,452203865
A_53;grimpereau_des_jardins;1;1,865639096;0,810805566;0,058075661;-0,452203865
A_53;tourterelle_des_bois;0;1,865639096;0,810805566;0,058075661;-0,452203865
A_53;fauvette_des_jardins;0;1,865639096;0,810805566;0,058075661;-0,452203865
A_53;rougequeue_noir;0;1,865639096;0,810805566;0,058075661;-0,452203865
A_53;pouillot_fitis;0;1,865639096;0,810805566;0,058075661;-0,452203865
A_53;mesange_charbonniere;2;1,865639096;0,810805566;0,058075661;-0,452203865
A_53;bergeronnette_printaniere;0;1,865639096;0,810805566;0,058075661;-0,452203865
A_53;corbeau_freux;0;1,865639096;0,810805566;0,058075661;-0,452203865
A_53;bergeronnette_grise;2;1,865639096;0,810805566;0,058075661;-0,452203865
A_58;tourterelle_des_bois;0;-0,173019198;0,939231899;0,794297949;-0,539514103
A_58;pouillot_fitis;1;-0,173019198;0,939231899;0,794297949;-0,539514103
A_58;tarier_patre;1;-0,173019198;0,939231899;0,794297949;-0,539514103
A_58;mesange_charbonniere;1;-0,173019198;0,939231899;0,794297949;-0,539514103
A_58;corbeau_freux;0;-0,173019198;0,939231899;0,794297949;-0,539514103
A_58;grimpereau_des_jardins;1;-0,173019198;0,939231899;0,794297949;-0,539514103
A_58;fauvette_des_jardins;2;-0,173019198;0,939231899;0,794297949;-0,539514103
A_58;rougequeue_noir;0;-0,173019198;0,939231899;0,794297949;-0,539514103
A_58;bergeronnette_grise;1;-0,173019198;0,939231899;0,794297949;-0,539514103
A_58;bergeronnette_printaniere;0;-0,173019198;0,939231899;0,794297949;-0,539514103
A_63;bergeronnette_printaniere;1;-0,401265738;-1,610268636;-0,10133188;0,598669382
A_63;tarier_patre;0;-0,401265738;-1,610268636;-0,10133188;0,598669382
A_63;tourterelle_des_bois;0;-0,401265738;-1,610268636;-0,10133188;0,598669382
A_63;grimpereau_des_jardins;0;-0,401265738;-1,610268636;-0,10133188;0,598669382
A_63;mesange_charbonniere;0;-0,401265738;-1,610268636;-0,10133188;0,598669382
A_63;rougequeue_noir;0;-0,401265738;-1,610268636;-0,10133188;0,598669382
A_63;fauvette_des_jardins;0;-0,401265738;-1,610268636;-0,10133188;0,598669382
A_63;pouillot_fitis;0;-0,401265738;-1,610268636;-0,10133188;0,598669382
A_63;bergeronnette_grise;0;-0,401265738;-1,610268636;-0,10133188;0,598669382
A_63;corbeau_freux;0;-0,401265738;-1,610268636;-0,10133188;0,598669382
A_682;tarier_patre;0;-1,012092679;0,011708384;-0,404985458;-0,301871565
A_682;pouillot_fitis;0;-1,012092679;0,011708384;-0,404985458;-0,301871565
A_682;tourterelle_des_bois;0;-1,012092679;0,011708384;-0,404985458;-0,301871565
A_682;rougequeue_noir;0;-1,012092679;0,011708384;-0,404985458;-0,301871565
A_682;bergeronnette_grise;3;-1,012092679;0,011708384;-0,404985458;-0,301871565
A_682;grimpereau_des_jardins;0;-1,012092679;0,011708384;-0,404985458;-0,301871565
A_682;corbeau_freux;0;-1,012092679;0,011708384;-0,404985458;-0,301871565
A_682;fauvette_des_jardins;1;-1,012092679;0,011708384;-0,404985458;-0,301871565
A_682;bergeronnette_printaniere;1;-1,012092679;0,011708384;-0,404985458;-0,301871565
A_682;mesange_charbonniere;1;-1,012092679;0,011708384;-0,404985458;-0,301871565
A_689;tourterelle_des_bois;0;0,193327346;0,787022912;1,449884754;-0,236045666
A_689;pouillot_fitis;0;0,193327346;0,787022912;1,449884754;-0,236045666
A_689;tarier_patre;1;0,193327346;0,787022912;1,449884754;-0,236045666
