;HIEVIR;LACBIL;NATMAU;NATNAT;PODMUR;ZAMLON;CORGIR;ANGFRA;MALMON;PODLIO;RHISCA;VIPASP;CHASTR;TARMAU;TIMLEP;PSAALG;PSAEDW;EMYORB;MAULEP;CORAUS;HEMTUR;ZOOVIV;LACAGI;VIPBER
ID1373;0;1;1;1;1;1;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0
ID148;0;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ID149;1;1;1;1;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0
ID150;1;1;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
ID151;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ID185;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
ID187;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0
ID188;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ID189;1;1;1;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
ID190;1;1;1;0;1;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
ID191;1;1;1;1;1;1;1;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0
ID192;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ID226;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1
ID227;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ID228;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
ID229;1;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
ID230;1;1;0;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
ID231;1;1;1;1;1;1;1;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0
ID258;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
ID259;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1
ID260;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
ID261;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
ID262;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ID263;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ID265;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;0
ID266;1;1;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;1
ID267;1;1;1;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
ID268;1;1;1;1;1;1;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
ID269;1;1;1;1;1;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
ID270;1;1;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
ID271;1;1;1;1;1;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0
ID297;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1
ID298;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
ID299;0;0;1;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;1
ID300;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1
ID301;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1
ID302;0;1;1;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;1
ID303;0;1;1;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1
ID304;0;1;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1
ID305;1;1;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;1
ID306;1;1;1;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;1
ID307;1;1;1;1;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1
ID308;1;1;1;1;1;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
